WORD                           | IPA
акушеро-гинекологичен          | ɐkuʃˈeroɡinekoɫˈoɡit͡ʃˈen
албанско-черногорски           | ˈaɫbɐnskˈot͡ʃernoɡˈorski
алфа-липопротеини              | ɐɫfˈalipoproteˈini
алфа-лъчи                      | ɐɫfˈaɫˈɤt͡ʃi
алъш-вериш                     | ˈaɫɤʃˈɤvˈeriʃˈɤ
алъш-веришче                   | ˈaɫɤʃverˈiʃt͡ʃe
американо-британски            | ɐmerikˈanobrˈitɐnskˈi
американо-руски                | ɐmerikˈanorˈuskˈi
американско-английски          | ɐmerˈikɐnskˈoˈanɡlijskˈi
американско-аржентински        | ɐmerˈikɐnskˈoarʒˈentinskˈi
американско-британски          | ɐmerˈikɐnskˈobrˈitɐnskˈi
американско-български          | ɐmerˈikɐnskˈobɤɫɡˈarski
американско-германски          | ɐmerˈikɐnskˈoɡˈermɐnskˈi
американско-гръцки             | ɐmerˈikɐnskˈoɡrˈɤt͡skˈi
американско-израелски          | ɐmerˈikɐnskˈoizrˈaeɫskˈi
американско-иракски            | ɐmerˈikɐnskˈoˈirɐkskˈi
американско-ирански            | ɐmerˈikɐnskˈoˈirɐnskˈi
американско-ислямски           | ɐmerˈikɐnskˈoˈislɐmskˈi
американско-канадски           | ɐmerˈikɐnskˈokˈanɐt͡skˈi
американско-китайски           | ɐmerˈikɐnskˈokˈitɐjskˈi
американско-кубински           | ɐmerˈikɐnskˈokˈubinskˈi
американско-либийски           | ɐmerˈikɐnskˈolˈibijskˈi
американско-мексикански        | ɐmerˈikɐnskˈomeksˈikɐnskˈi
американско-монголски          | ɐmerˈikɐnskˈomˈonɡoɫskˈi
американско-полски             | ɐmerˈikɐnskˈopoɫskˈi
американско-руски              | ɐmerˈikɐnskˈorˈuskˈi
американско-саудитски          | ɐmerˈikɐnskˈosaˈudit͡skˈi
американско-съветски           | ɐmerˈikɐnskˈosˈɤvet͡skˈi
американско-турски             | ɐmerˈikɐnskˈotˈurskˈi
американско-френски            | ɐmerˈikɐnskˈofrˈenskˈi
американско-японски            | ɐmerˈikɐnskˈojˈaponskˈi
ампер-час                      | ˈampɛr-ˈt͡ʃas
английско-американски          | ˈanɡlijskˈoɐmerˈikɐnskˈi
английско-английски            | ˈanɡlijskˈoˈanɡlijskˈi
английско-български            | ˈanɡlijskˈobɤɫɡˈarski
английско-ирландски            | ˈanɡlijskˈoˈirɫɐnˈɤt͡skˈi
английско-китайски             | ˈanɡlijskˈokˈitɐjskˈi
английско-латински             | ˈanɡlijskˈoɫˈatinskˈi
английско-немски               | ˈanɡlijskˈonemskˈi
англо-американски              | ˈanɡɫoɐmerˈikɐnskˈi
англо-български                | ˈanɡɫobɤɫɡˈarski
англо-египетски                | ˈanɡɫoˈeɡipˈet͡ski
англо-индийски                 | ˈanɡɫoˈindijskˈi
англо-френски                  | ˈanɡɫofrˈenskˈi
англо-холандски                | ˈanɡɫoxˈoɫɐnˈɤt͡skˈi
арабско-израелски              | ˈarɐpskˈoizrˈaeɫskˈi
арабско-мавритански            | ˈarɐpskˈomavrˈitɐnskˈi
арабско-мюсюлмански            | ˈarɐpskˈomjuʂˈuɫmɐnskˈi
армено-григориански            | armˈenoɡriɡorˈiɐnskˈi
артериално-венозен             | ɐrterˈiɐɫnˈovˈenozˈen
архитектурно-етнографски       | ɐrçitˈekturnˈoetnˈoɡrɐfskˈi
архитектурно-исторически       | ɐrçitˈekturnˈoistˈorit͡ʃˈeski
архитектурно-парков            | ɐrçitˈekturnˈopˈarkˈof
архитектурно-строителен        | ɐrçitˈekturnˈostrˈoitˈelen
архитектурно-художествен       | ɐrçitˈekturnˈoxˈudoʒˈestven
асиро-вавилонски               | asˈirovavˈiɫonskˈi
асистент-режисьор              | asˈistenɤtˈɤreʒˈiʂorˈɤ
асистент-режисьорче            | asˈistenɤtˈɤreʒiʂˈort͡ʃe
аудио-визуален                 | ɐudˈiovizˈuɐlˈen
афганистанско-таджикистански   | ɐvɡɐnistˈanskotˈad͡ʒikistˈanski
банково-финансов               | bˈankˈovofˈinɐnsˈof
бау-бау                        | bˈaˈubɐu
бежово-кафяв                   | bˈeʒˈovokˈafjɐvˈɤ
белгийско-холандски            | bˈeɫɡijskˈoxˈoɫɐnˈɤt͡skˈi
бензиново-електрически         | bˈenzinˈovoelˈektrit͡ʃˈeski
бери-бери                      | bˈerˈibˈerˈi
бета-липопротеини              | bˈetˈalipoproteˈini
бета-лъчи                      | bˈetˈaɫˈɤt͡ʃi
бета-разпадане                 | bˈetˈarˈaspɐdˈane
библиотечно-информационен      | bibliˈotet͡ʃnˈoinformat͡sˈionˈen
био-библиография               | bˈiˈobibliˈoɡrɐfˈijɐ
бридж-белот                    | brˈid͡ʒbˈeɫotˈɤ
бридж-белотче                  | brˈid͡ʒbeɫˈott͡ʃe
британско-американски          | brˈitɐnskˈoɐmerˈikɐnskˈi
британско-холандски            | brˈitɐnskˈoxˈoɫɐnˈɤt͡skˈi
буквено-цифров                 | bˈukvˈenot͡sˈifrˈof
буржоазно-либерален            | burʒˈoɐznˈolibˈerɐlˈen
бъбречно-урологичен            | bˈɤbrˈet͡ʃnouroɫoɡˈit͡ʃen
българо-австралийски           | bɤɫɡˈaroafstrˈalijskˈi
българо-австрийски             | bɤɫɡˈaroˈafstrijskˈi
българо-албански               | bɤɫɡˈaroˈaɫbɐnskˈi
българо-американски            | bɤɫɡˈaroɐmerˈikɐnskˈi
българо-английски              | bɤɫɡˈaroˈanɡlijskˈi
българо-арабски                | bɤɫɡˈaroˈarɐpskˈi
българо-балкански              | bɤɫɡˈarobˈaɫkɐnskˈi
българо-белгийски              | bɤɫɡˈarobˈeɫɡijskˈi
българо-британски              | bɤɫɡˈarobrˈitɐnskˈi
българо-византийски            | bɤɫɡˈarovizˈantijskˈi
българо-германски              | bɤɫɡˈaroɡˈermɐnskˈi
българо-гръцки                 | bɤɫɡˈaroɡrˈɤt͡skˈi
българо-израелски              | bɤɫɡˈaroizrˈaeɫskˈi
българо-индийски               | bɤɫɡˈaroˈindijskˈi
българо-иракски                | bɤɫɡˈaroˈirɐkskˈi
българо-испански               | bɤɫɡˈaroˈispɐnskˈi
българо-италиански             | bɤɫɡˈaroitalˈiɐnskˈi
българо-канадски               | bɤɫɡˈarokˈanɐt͡skˈi
българо-китайски               | bɤɫɡˈarokˈitɐjskˈi
българо-кувейтски              | bɤɫɡˈarokuvˈejt͡ski
българо-либийски               | bɤɫɡˈarolˈibijskˈi
българо-македонски             | bɤɫɡˈaromakˈedonskˈi
българо-немски                 | bɤɫɡˈaronemskˈi
българо-полски                 | bɤɫɡˈaropoɫskˈi
българо-португалски            | bɤɫɡˈaroportˈuɡɐɫskˈi
българо-румънски               | bɤɫɡˈarorˈumɤnskˈi
българо-руски                  | bɤɫɡˈarorˈuskˈi
българо-сръбски                | bɤɫɡˈarosrˈɤpskˈi
българо-съветски               | bɤɫɡˈarosˈɤvet͡skˈi
българо-турски                 | bɤɫɡˈarotˈurskˈi
българо-украински              | bɤɫɡˈaroukrˈainskˈi
българо-финландски             | bɤɫɡˈarofˈinɫɐnˈɤt͡skˈi
българо-френски                | bɤɫɡˈarofrˈenskˈi
българо-холандски              | bɤɫɡˈaroxˈoɫɐnˈɤt͡skˈi
българо-чешки                  | bɤɫɡˈarot͡ʃeʃkˈi
българо-шведски                | bɤɫɡˈaroʃvˈet͡skˈi
българо-швейцарски             | bɤɫɡˈaroʃvˈejt͡sɐrskˈi
българо-югославски             | bɤɫɡˈarojuɡosɫˈafski
българо-японски                | bɤɫɡˈarojˈaponskˈi
българско-американски          | bɤɫɡˈarskoɐmerˈikɐnskˈi
българско-английски            | bɤɫɡˈarskoˈanɡlijskˈi
българско-гръцки               | bɤɫɡˈarskoɡrˈɤt͡skˈi
българско-испански             | bɤɫɡˈarskoˈispɐnskˈi
българско-италиански           | bɤɫɡˈarskoitalˈiɐnskˈi
българско-немски               | bɤɫɡˈarskonemskˈi
българско-португалски          | bɤɫɡˈarskoportˈuɡɐɫskˈi
българско-руски                | bɤɫɡˈarskorˈuskˈi
българско-турски               | bɤɫɡˈarskotˈurskˈi
българско-френски              | bɤɫɡˈarskofrˈenskˈi
българско-японски              | bɤɫɡˈarskojˈaponskˈi
бюст-паметник                  | bjˈustpˈamˈetnik
бяло-жълт                      | bjˈaɫˈoʒˈɤlɤtˈɤ
бяло-зелен                     | bjˈaɫˈozˈelenˈɤ
бяло-златист                   | bjˈaɫˈozɫˈatistotˈinki
бяло-кафеникав                 | bjˈaɫˈokɐfenˈikɐf
бяло-кафяв                     | bjˈaɫˈokˈafjɐvˈɤ
бяло-розов                     | bjˈaɫˈorˈozˈof
бяло-сив                       | bjˈaɫˈosˈif
бяло-син                       | bjˈaɫˈosˈin
бяло-синкав                    | bjˈaɫˈosinkˈaf
бяло-червен                    | bjˈaɫˈot͡ʃˈervenˈɤ
бяло-черен                     | bjˈaɫˈot͡ʃerˈen
вагон-ресторант                | vˈaɡonˈɤrestˈorɐnɤtˈɤ
вагон-ресторантче              | vˈaɡonˈɤrestorˈantt͡ʃe
вагон-цистерна                 | vˈaɡonˈɤt͡sˈisternˈa
везико-вагинален               | vezˈikovaɡˈinɐlˈen
везико-ректален                | vezˈikorˈektɐlˈen
ветеринарно-санитарен          | veterˈinɐrnˈosanˈitɐrˈen
византийско-венециански        | vizˈantijskˈovenet͡sˈiɐnskˈi
византийско-славянски          | vizˈantijskˈosɫˈavjɐnskˈi
викторианско-готически         | viktorˈiɐnskˈoɡˈotit͡ʃˈeski
винаро-лозарски                | vinˈaroɫˈozɐrskˈi
виолетово-бял                  | viˈoletˈovobjˈalˈɤ
виолетово-зелен                | viˈoletˈovozˈelenˈɤ
виолетово-кафяв                | viˈoletˈovokˈafjɐvˈɤ
виолетово-оранжев              | viˈoletˈovoˈorɐnʒˈef
виолетово-розов                | viˈoletˈovorˈozˈof
виолетово-сив                  | viˈoletˈovosˈif
виолетово-син                  | viˈoletˈovosˈin
виолетово-червен               | viˈoletˈovot͡ʃˈervenˈɤ
виолетово-черен                | viˈoletˈovot͡ʃerˈen
вирусно-бактериален            | virˈusnobɐkteriˈalen
внос-износ                     | vnˈosiznˈos
вносно-износен                 | vnˈosnˈoˈiznosˈen
водно-маслен                   | vˈodnˈomɐslˈen
военно-апелативен              | vˈoennˈoɐpeɫˈativˈen
военно-граждански              | vˈoennˈoɡrˈaʒdˈanski
военно-изследователски         | vˈoennˈoissledˈovɐtˈeɫski
военно-икономически            | vˈoennˈoikonˈomit͡ʃˈeski
военно-патриотичен             | vˈoennˈopɐtriˈotit͡ʃˈen
военно-политически             | vˈoennˈopolˈitit͡ʃˈeski
военно-ремонтен                | vˈoennˈorˈemontˈen
военно-спортен                 | vˈoennˈospˈortˈen
вокално-инструментален         | vˈokɐɫnˈoinstrumˈentɐlˈen
време-пространство             | vrˈemˈeprˈostrɐnˈɤstvˈo
входно-изходен                 | fxˈodnˈoisxˈoden
възвратно-постъпателен         | vˈɤzvrɐtnˈopostɤpˈatelen
въздушно-капков                | vˈɤzduʃnˈokˈapkof
вълна-убиец                    | vɐɫˈna-oˈbiɛt͡s
г-жа                           | ɡospoˈʒa
г-н                            | ɡospoˈdin
г-образен                      | ɡˈobrˈazen
г-ца                           | ɡoˈspɔʒit͡sɐ
га-га                          | ɡˈaɡˈa
га-га                          | ˈɡa-ˈɡa
гама-глобулин                  | ɡˈamɐɡɫobˈulin
гама-глобулинче                | ɡˈamɐɡɫobulˈint͡ʃe
гама-лъч                       | ɡˈamaɫˈɤt͡ʃ
гама-лъчение                   | ɡˈamaɫˈɤt͡ʃenˈie
гама-радиация                  | ɡˈamɐradˈiɐt͡sˈijɐ
гама-фон                       | ɡˈamafˈon
гвинея-бисау                   | ɡviˈnɛjɐ-biˈsao
генерал-адютант                | ɡenˈerɐlˈɤadjˈutɐnɤtˈɤ
генерал-адютантче              | ɡenˈerɐlˈɤɐdjutˈantt͡ʃe
генерал-губернатор             | ɡenˈerɐlˈɤɡubˈernɐtˈor
генерал-губернаторче           | ɡenˈerɐlˈɤɡubernatˈort͡ʃe
генерал-капитан                | ɡenˈerɐlˈɤkapˈitɐnˈɤ
генерал-капитанче              | ɡenˈerɐlˈɤkɐpitˈant͡ʃe
генерал-лейтенант              | ɡenˈerɐlˈɤlˈejtˈenɐnt
генерал-лейтенантче            | ɡenˈerɐlˈɤlejtenˈantt͡ʃe
генерал-майор                  | ɡenˈerɐlˈɤmˈajorˈɤ
генерал-майорче                | ɡenˈerɐlˈɤmajˈort͡ʃe
генерал-полковник              | ɡenˈerɐlˈɤpˈoɫkovnˈik
генерал-фелдмаршал             | ɡenˈerɐlˈɤfˈeɫdmˈarʃɐɫ
генерал-фелдмаршалче           | ɡenˈerɐlˈɤfeɫdmarʃˈaɫt͡ʃe
германо-американски            | ɡermˈanoɐmerˈikɐnskˈi
германо-български              | ɡermˈanobɤɫɡˈarski
германо-румънски               | ɡermˈanorˈumɤnskˈi
германо-съветски               | ɡermˈanosˈɤvet͡skˈi
германско-американски          | ɡˈermɐnskˈoɐmerˈikɐnskˈi
германско-британски            | ɡˈermɐnskˈobrˈitɐnskˈi
германско-италиански           | ɡˈermɐnskˈoitalˈiɐnskˈi
германско-френски              | ɡˈermɐnskˈofrˈenskˈi
героично-комичен               | ɡerˈoit͡ʃnˈokˈomit͡ʃˈen
глинесто-песъклив              | ɡlˈinˈestopesɤklˈif
глинесто-песъчлив              | ɡlˈinˈestopesˈɤt͡ʃlivˈɤ
горе-долу                      | ˈɡɔrɛ-ˈdɔɫo
гориво-смазочен                | ɡˈorivˈosmˈazot͡ʃˈen
гористо-блатист                | ɡˈoristˈobɫˈatistotˈinki
горчиво-ироничен               | ɡˈort͡ʃivˈoirˈonit͡ʃˈen
горчиво-кисел                  | ɡˈort͡ʃivˈokˈisˈeɫ
горчиво-сладостен              | ɡˈort͡ʃivˈosɫˈadˈosten
горчиво-сладък                 | ɡˈort͡ʃivˈosɫˈadˈɤk
горчиво-солен                  | ɡˈort͡ʃivˈosˈolenˈɤ
горчиво-тръпчив                | ɡˈort͡ʃivˈotrˈɤpt͡ʃivˈɤ
готско-римски                  | ɡˈot͡skˈorˈimskˈi
гра-гра                        | ɡrˈaɡrˈa
гражданско-военен              | ɡrˈaʒdˈanskovˈoenˈen
гранично-пропускателен         | ɡrˈanit͡ʃnˈopropˈuskɐtˈelen
гръко-римски                   | ɡrˈɤkorˈimskˈi
гръцко-американски             | ɡrˈɤt͡skˈoɐmerˈikɐnskˈi
гръцко-български               | ɡrˈɤt͡skˈobɤɫɡˈarski
гръцко-персийски               | ɡrˈɤt͡skˈopˈersijskˈi
гръцко-турски                  | ɡrˈɤt͡skˈotˈurskˈi
гръцко-холандски               | ɡrˈɤt͡skˈoxˈoɫɐnˈɤt͡skˈi
гу-гу                          | ɡˈuɡˈu
гьоз-бояджилък                 | ɡjˈozbojad͡ʒˈiɫɤk
гьоз-гьоре                     | ɡjˈozˈɤɡjˈore
далай-лама                     | dˈaɫɐiɫˈamɐ
датско-английски               | dɐt͡skˈoˈanɡlijskˈi
двама-трима                    | dvˈamatrˈimɐ
дванадесет-тринадесетгодишен   | dvˈanɐdˈesettrˈinɐdesedɡˈodiʃˈen
дванайсет-тринайсетгодишен     | dvanˈajsettrinɐjsedɡodˈiʃen
де-гиди                        | dˈeɡˈidˈi
девет-десетгодишен             | dˈevˈeddesedɡˈodiʃˈen
деветнадесет-двадесетгодишен   | devˈetnɐdˈeseddvˈadesedɡˈodiʃˈen
деветнайсет-двайсетгодишен     | devetnˈajseddvɐjsedɡodˈiʃen
десет-дванадесетгодишен        | dˈesˈeddvˈanɐdesedɡˈodiʃˈen
десет-дванайсетгодишен         | dˈesˈeddvɐnɐjsedɡodˈiʃen
десет-единайсетгодишен         | dˈesˈetedinɐjsedɡodˈiʃen
детско-юношески                | dˈet͡skˈojunoʃˈeski
джаста-праста                  | ˈd͡ʒastɐˈprastɐ
джей-поп                       | ˈd͡ʒɛj-pɔp
джив-джив                      | d͡ʒiv-d͡ʒif
джиджи-биджи                   | d͡ʒˈid͡ʒibˈid͡ʒi
джип-сафари                    | d͡ʒˈipsˈafɐrˈi
джиу-джицу                     | d͡ʒˈiˈud͡ʒit͡sˈu
диагностично-консултативен     | diaɡnˈostit͡ʃnˈokonsuɫtˈativˈen
дишъ-парасъ                    | dˈiʃɤparˈasɤ
дишъ-хакъ                      | dˈiʃɤxˈakɤ
днес-утре                      | dnˈesˈutrˈe
доксан-докус                   | dˈoksɐnˈɤdˈokusˈɤ
дом-паметник                   | dˈompˈamˈetnik
драматико-епичен               | drɐmatˈikoˈepit͡ʃˈen
драматично-куклен              | dramˈatit͡ʃnˈokˈuklˈen
драматично-оперен              | dramˈatit͡ʃnˈoˈopˈeren
дроб-сарма                     | drˈobˈɤsˈarmɐ
дум-дум                        | dˈumdˈum
духовно-артистичен             | dˈuxovnˈoartˈistit͡ʃˈen
държавно-обществен             | dˈɤrʒɐvnˈoˈopʃt͡ʃestvˈen
дясно-център                   | djˈasnˈot͡sˈentˈɤr
евро-азиатски                  | ˈevroɐziˈat͡ski
евро-американски               | ˈevroɐmerˈikɐnskˈi
евро-арабски                   | ˈevroˈarɐpskˈi
евро-атлантически              | ˈevroatɫˈantit͡ʃˈeski
евро-средиземноморски          | ˈevrosredizemnˈomorskˈi
евро-цигански                  | ˈevrot͡sˈiɡˈanski
евро-швейцарски                | ˈevroʃvˈejt͡sɐrskˈi
евро-щатски                    | ˈevroʃt͡ʃˈat͡skˈi
евро-японски                   | ˈevrojˈaponskˈi
европейско-американски         | evrˈopejskˈoɐmerˈikɐnskˈi
европейско-атлантически        | evrˈopejskˈoatɫˈantit͡ʃˈeski
европейско-български           | evrˈopejskˈobɤɫɡˈarski
европейско-либийски            | evrˈopejskˈolˈibijskˈi
европейско-християнски         | evrˈopejskˈoxristˈijɐnskˈi
едва-едва                      | ˈedvaˈedvɐ
едва-що                        | ˈedvaʃt͡ʃˈo
еди-как                        | edˈikˈak
еди-какво                      | edˈikˈakvo
еди-какъв                      | edˈikˈakɤf
еди-кога                       | edˈikˈoɡɐ
еди-кой                        | edˈikˈoj
еди-колко                      | edˈikˈoɫko
еди-къде                       | edˈikˈɤde
еди-що                         | edˈiʃt͡ʃˈo
екзистенц-миниму               | eɡzˈistenɤt͡sˈɤminˈimu
екзистенц-минимум              | eɡzˈistenɤt͡sˈɤminˈimum
екзистенц-минимумче            | eɡzˈistenɤt͡sˈɤminimˈumt͡ʃe
експерт-счетоводител           | ˈeksperɤtˈɤst͡ʃetovˈoditˈeɫ
експерт-съветник               | ˈeksperɤtˈɤsˈɤvetnˈik
експертно-образователен        | ˈekspertnˈoobrazˈovɐtˈelen
емоционално-интимен            | emot͡siˈonɐɫnˈoˈintimˈen
емоционално-любовен            | emot͡siˈonɐɫnˈolˈubovˈen
есенно-зимен                   | esˈennozˈimˈen
естетико-декоративен           | estetˈikodekorˈativˈen
естетико-художествен           | estetˈikoxˈudoʒˈestven
жар-птица                      | ʒarˈptit͡sɐ
жар-птица                      | ʒˈarptˈit͡sˈa
житие-битие                    | ʒitˈiebitˈie
жиу-жицу                       | ʒˈiuʒˈit͡su
жлъчно-чернодробен             | ʒɫˈɤt͡ʃnˈot͡ʃernˈodrobˈen
жълто-бял                      | ʒˈɤɫtˈobjˈalˈɤ
жълто-зелен                    | ʒˈɤɫtozˈelenˈɤ
жълто-зеленикав                | ʒˈɤɫtˈozelˈenikˈaf
жълто-кафяв                    | ʒˈɤɫtˈokˈafjɐvˈɤ
жълто-оранжев                  | ʒˈɤɫtˈoˈorɐnʒˈef
жълто-розов                    | ʒˈɤɫtˈorˈozˈof
жълто-сив                      | ʒˈɤɫtˈosˈif
жълто-сивкав                   | ʒˈɤɫtˈosifkˈaf
жълто-син                      | ʒˈɤɫtˈosˈin
жълто-червен                   | ʒˈɤɫtot͡ʃˈervenˈɤ
жълто-червеникав               | ʒˈɤɫtˈot͡ʃervˈenikˈaf
жълто-черен                    | ʒˈɤɫtˈot͡ʃerˈen
забавно-музикален              | zˈabɐvnˈomuzˈikɐlˈen
зам.-директорка                | zˈamdˈirektˈorkɐ
зам.-кмет                      | zˈamkmˈet
зам.-командир                  | zˈamkomˈandirˈɤ
зам.-министър                  | zˈammˈinistˈɤr
зам.-министърка                | zˈamministˈɤrkɐ
зам.-началник                  | zˈamnˈat͡ʃɐɫnˈik
зам.-председател               | zˈampret͡sˈedɐtˈeɫ
зам.-ректор                    | zˈamrˈektˈor
зам.-ректорче                  | zˈamrektˈort͡ʃe
зам.-ръководител               | zˈamrɤkovˈoditˈeɫ
заместник-адмирал              | zˈamestnˈikadmˈirɐlˈɤ
заместник-аташе                | zˈamestnˈikatˈaʃe
заместник-вожд                 | zˈamestnˈikvˈoʒɤdˈɤ
заместник-говорител            | zˈamestnˈiɡɡovˈoritˈeɫ
заместник-губернатор           | zˈamestnˈiɡɡubˈernɐtˈor
заместник-губернаторче         | zˈamestnˈiɡɡubernatˈort͡ʃe
заместник-декан                | zˈamestnˈiɡdˈekɐnˈɤ
заместник-деканче              | zˈamestnˈiɡdekˈant͡ʃe
заместник-директор             | zˈamestnˈiɡdˈirektˈor
заместник-директорка           | zˈamestnˈiɡdˈirektˈorkɐ
заместник-директорче           | zˈamestnˈiɡdirektˈort͡ʃe
заместник-играч                | zˈamestnˈikˈiɡrɐt͡ʃˈɤ
заместник-капитан              | zˈamestnˈikkapˈitɐnˈɤ
заместник-кмет                 | zˈamestnˈikkmˈet
заместник-кметица              | zˈamestnˈikkmˈetit͡sˈa
заместник-командир             | zˈamestnˈikkomˈandirˈɤ
заместник-командирче           | zˈamestnˈikkomandˈirt͡ʃe
заместник-комендант            | zˈamestnˈikkomˈendɐnɤtˈɤ
заместник-комендантче          | zˈamestnˈikkomendˈantt͡ʃe
заместник-комисар              | zˈamestnˈikkomisˈar
заместник-консул               | zˈamestnˈikkˈonsˈuɫ
заместник-консулче             | zˈamestnˈikkonsˈuɫt͡ʃe
заместник-контрольор           | zˈamestnˈikkontrˈolorˈɤ
заместник-лидер                | zˈamestnˈiklidˈer
заместник-лидерче              | zˈamestnˈiklidˈert͡ʃe
заместник-магистър             | zˈamestnˈikmˈaɡistˈɤr
заместник-мениджър             | zˈamestnˈikmenˈid͡ʒɤr
заместник-министър             | zˈamestnˈikmˈinistˈɤr
заместник-министърка           | zˈamestnˈikministˈɤrkɐ
заместник-началник             | zˈamestnˈiknˈat͡ʃɐɫnˈik
заместник-помощник             | zˈamestnˈikpˈomoʃt͡ʃnˈik
заместник-посланик             | zˈamestnˈikpˈosɫɐnˈik
заместник-председател          | zˈamestnˈikpret͡sˈedɐtˈeɫ
заместник-председателка        | zˈamestnˈikpret͡sedatˈeɫkɐ
заместник-представител         | zˈamestnˈikprˈet͡stɐvˈiteɫ
заместник-президент            | zˈamestnˈikprezˈidenɤtˈɤ
заместник-премиер              | zˈamestnˈikpremˈierˈɤ
заместник-премиерче            | zˈamestnˈikpremiˈert͡ʃe
заместник-префект              | zˈamestnˈikprˈefekɤtˈɤ
заместник-продуцент            | zˈamestnˈikprodut͡sˈent
заместник-продуцентче          | zˈamestnˈikprodut͡sˈentt͡ʃe
заместник-прокурор             | zˈamestnˈikprokˈurorˈɤ
заместник-прокурорче           | zˈamestnˈikprokurˈort͡ʃe
заместник-редактор             | zˈamestnˈikrˈedɐktˈor
заместник-редакторче           | zˈamestnˈikredaktˈort͡ʃe
заместник-ректор               | zˈamestnˈikrˈektˈor
заместник-ректорче             | zˈamestnˈikrektˈort͡ʃe
заместник-ръководител          | zˈamestnˈikrɤkovˈoditˈeɫ
заместник-секретар             | zˈamestnˈiksekrˈetɐrˈɤ
заместник-съветник             | zˈamestnˈiksˈɤvetnˈik
заместник-управител            | zˈamestnˈikˈuprɐvˈiteɫ
заместник-шамбелан             | zˈamestnˈikʃambˈeɫɐn
заместник-шамбеланче           | zˈamestnˈikʃɐmbeɫˈant͡ʃe
заместник-шериф                | zˈamestnˈikʃˈerifˈɤ
заместник-шерифче              | zˈamestnˈikʃerˈift͡ʃe
заместник-шеф                  | zˈamestnˈikʃˈef
запад-северозапад              | zɐpˈat͡severˈozɐpˈat
запад-югозапад                 | zɐpˈadjuɡozˈapɐt
заря-проверка                  | zˈarjaprˈoverkˈa
застроително-регулационен      | zɐstroitˈeɫnoreɡuɫat͡sˈionˈen
зелено-бежов                   | zˈelenˈobeʒˈof
зелено-бял                     | zˈelenˈobjɐlˈɤ
зелено-жълт                    | zˈelenˈoʒɤlɤtˈɤ
зелено-златен                  | zˈelenˈozɫɐtˈen
зелено-златист                 | zˈelenozɫˈatistotˈinki
зелено-кафяв                   | zˈelenokˈafjɐvˈɤ
зелено-лилав                   | zˈelenolˈiɫɐvˈɤ
зелено-пурпурен                | zˈelenˈopurpˈuren
зелено-розов                   | zˈelenˈorozˈof
зелено-сив                     | zˈelenosˈif
зелено-син                     | zˈelenˈosin
зелено-червен                  | zˈelenot͡ʃˈervenˈɤ
зелено-черен                   | zˈelenˈot͡ʃerˈen
зеленчуково-плодов             | zelˈent͡ʃukˈovopɫˈodˈof
зенитно-ракетен                | zɛˈnitno-rɐˈkɛtɛn
